lemma,sense_name,definition,example,example_source,Notes,Num_WN_Examples
ball,ball.n.07,United States comedienne best known as the star of a popular television program (1911-1989),no_example,no_example,proper noun,0
banana,banana.n.01,any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits,no_example,no_example,unknown sense,0
better,adept.s.01,having or showing knowledge and skill and aptitude,no_example,no_example,bad lemma,8
better,beneficial.s.01,promoting or enhancing well-being,no_example,no_example,bad lemma,3
better,dear.s.02,with or in a close or intimate relationship,no_example,no_example,bad lemma,2
better,dependable.s.04,financially sound,no_example,no_example,bad lemma,2
better,effective.s.04,exerting force or influence,no_example,no_example,bad lemma,3
better,estimable.s.02,deserving of esteem and respect,no_example,no_example,bad lemma,2
better,full.s.06,having the normally expected amount,no_example,no_example,bad lemma,3
better,good.a.01,having desirable or positive qualities especially those suitable for a thing specified,no_example,no_example,bad lemma,10
better,good.a.03,morally admirable,no_example,no_example,bad lemma,0
better,good.s.06,agreeable or pleasing,no_example,no_example,bad lemma,2
better,good.s.07,of moral excellence,no_example,no_example,bad lemma,3
better,good.s.09,thorough,no_example,no_example,bad lemma,2
better,good.s.12,most suitable or right for a particular purpose,no_example,no_example,bad lemma,3
better,good.s.13,resulting favorably,no_example,no_example,bad lemma,4
better,good.s.15,capable of pleasing,no_example,no_example,bad lemma,1
better,good.s.16,appealing to the mind,no_example,no_example,bad lemma,2
better,good.s.17,in excellent physical condition,no_example,no_example,bad lemma,3
better,good.s.18,tending to promote physical well-being; beneficial to health,no_example,no_example,bad lemma,3
better,good.s.19,not forged,no_example,no_example,bad lemma,1
better,good.s.20,not left to spoil,no_example,no_example,bad lemma,1
better,good.s.21,generally admired,no_example,no_example,bad lemma,1
better,well.a.01,in good health especially after having suffered illness or injury,no_example,no_example,bad lemma,4
better,well.s.03,wise or advantageous and hence advisable,no_example,no_example,bad lemma,1
blanket,blanket.n.03,a layer of lead surrounding the highly reactive core of a nuclear reactor,no_example,no_example,unknown sense,0
blue,blue.s.07,morally rigorous and strict,no_example,no_example,unknown sense,3
book,book.n.06,a collection of playing cards satisfying the rules of a card game,no_example,no_example,unknown sense,0
boots,boot.n.05,an instrument of torture that is used to heat or crush the foot and leg,no_example,no_example,unknown sense,0
boots,boot.n.06,a form of foot torture in which the feet are encased in iron and slowly crushed,no_example,no_example,unknown sense,0
bowl,bowling_ball.n.01,a large ball with finger holes used in the sport of bowling,no_example,no_example,unknown sense,0
button,clitoris.n.01,a female sexual organ homologous to the penis,no_example,no_example,unknown sense,0
cheese,tall_mallow.n.01,erect or decumbent Old World perennial with axillary clusters of rosy-purple flowers; introduced in United States,no_example,no_example,unknown sense,0
chin,kuki.n.01,Kamarupan languages spoken in western Burma and Bangladesh and easternmost India,no_example,no_example,unknown sense,0
coke,coke.n.01,carbon fuel produced by distillation of coal,no_example,no_example,unknown sense,0
comb,comb.n.04,ciliated comb-like swimming plate of a ctenophore,no_example,no_example,unknown sense,0
couch,couch.n.02,a flat coat of paint or varnish used by artists as a primer,no_example,no_example,unknown sense,0
crib,pony.n.03,a literal translation used in studying a foreign language (often used illicitly),no_example,no_example,unknown sense,0
diaper,diaper.n.02,a fabric (usually cotton or linen) with a distinctive woven pattern of small repeated figures,no_example,no_example,unknown sense,0
dog,pawl.n.01,a hinged catch that fits into a notch of a ratchet to move a wheel forward or prevent it from moving backward,no_example,no_example,unknown sense,0
fish,pisces.n.02,(astrology) a person who is born while the sun is in Pisces,no_example,no_example,unknown sense,0
flag,flag.n.07,a conspicuously marked or shaped tail,no_example,no_example,unknown sense,0
flower,flower.n.03,the period of greatest prosperity or productivity,no_example,no_example,unknown sense,0
foot,foot.n.08,a member of a surveillance team who works on foot or rides as a passenger,no_example,no_example,unknown sense,0
get,draw.v.15,earn or achieve a base by being walked by the pitcher,no_example,no_example,unknown sense,1
grass,grass.n.02,German writer of novels and poetry and plays (born 1927),no_example,no_example,proper noun,0
gum,gum_tree.n.01,any of various trees of the genera Eucalyptus or Liquidambar or Nyssa that are sources of gum,no_example,no_example,unknown sense,0
hard,unvoiced.a.01,produced without vibration of the vocal cords,no_example,no_example,unknown sense,1
ice,frosting.n.01,a flavored sugar topping used to coat and decorate cakes,no_example,no_example,bad lemma,0
ice,internal-combustion_engine.n.01,a heat engine in which combustion occurs inside the engine rather than in a separate furnace; heat expands a gas that either moves a piston or turns a gas turbine,no_example,no_example,unknown sense,0
keys,key.n.07,United States lawyer and poet who wrote a poem after witnessing the British attack on Baltimore during the War of 1812; the poem was later set to music and entitled `The Star-Spangled Banner' (1779-1843),no_example,no_example,proper noun,0
keys,samara.n.01,a winged often one-seed indehiscent fruit as of the ash or elm or maple,no_example,no_example,unknown sense,0
lamb,lamb.n.02,English essayist (1775-1834),no_example,no_example,proper noun,0
lion,leo.n.03,the fifth sign of the zodiac; the sun is in this sign from about July 23 to August 22,no_example,no_example,unknown sense,0
lips,lip.n.02,(botany) either of the two parts of a bilabiate corolla or calyx,no_example,no_example,unknown sense,0
moon,moon.n.05,United States religious leader (born in Korea) who founded the Unification Church in 1954; was found guilty of conspiracy to evade taxes (born in 1920),no_example,no_example,proper noun,0
new,new.s.08,in use after medieval times,no_example,no_example,unknown sense,1
nuts,en.n.01,half the width of an em,no_example,no_example,unknown sense,0
nuts,nut.n.02,Egyptian goddess of the sky,no_example,no_example,unknown sense,0
pencil,pencil.n.03,a figure formed by a set of straight lines or light rays meeting at a point,no_example,no_example,unknown sense,0
pig,pig.n.06,a crude block of metal (lead or iron) poured from a smelting furnace,no_example,no_example,unknown sense,0
plate,plate.n.07,the thin under portion of the forequarter,no_example,no_example,unknown sense,0
plate,plate.n.10,the positively charged electrode in a vacuum tube,no_example,no_example,unknown sense,0
pony,pony.n.03,a literal translation used in studying a foreign language (often used illicitly),no_example,no_example,unknown sense,0
rock,rock.n.03,United States gynecologist and devout Catholic who conducted the first clinical trials of the oral contraceptive pill (1890-1984),no_example,no_example,proper noun,0
salt,salt.n.01,a compound formed by replacing hydrogen in an acid by a metal (or a radical that acts like a metal),no_example,no_example,unknown sense,0
snow,snow.n.03,English writer of novels about moral dilemmas in academe (1905-1980),no_example,no_example,proper noun,0
soap,soap.n.03,street names for gamma hydroxybutyrate,no_example,no_example,unknown sense,0
soft,soft.a.09,(of speech sounds); produced with the back of the tongue raised toward the hard palate; characterized by a hissing or hushing sound (as `s' and `sh'),no_example,no_example,unknown sense,0
soft,voiced.a.01,produced with vibration of the vocal cords,no_example,no_example,unknown sense,2
stick,joint.n.06,marijuana leaves rolled into a cigarette for smoking,no_example,no_example,unknown sense,0
stone,stone.n.07,United States jurist who was named chief justice of the United States Supreme Court in 1941 by Franklin D. Roosevelt (1872-1946),no_example,no_example,proper noun,0
stone,stone.n.08,United States filmmaker (born in 1946),no_example,no_example,proper noun,0
stone,stone.n.09,United States feminist and suffragist (1818-1893),no_example,no_example,proper noun,0
stone,stone.n.10,United States journalist who advocated liberal causes (1907-1989),no_example,no_example,proper noun,0
stone,stone.n.11,United States jurist who served on the United States Supreme Court as chief justice (1872-1946),no_example,no_example,proper noun,0
stone,stone.n.12,United States architect (1902-1978),no_example,no_example,proper noun,0
tongue,clapper.n.03,metal striker that hangs inside a bell and makes a sound by hitting the side,no_example,no_example,unknown sense,0
toothbrush,soup-strainer.n.01,slang for a mustache,no_example,no_example,unknown sense,0
tree,tree.n.03,English actor and theatrical producer noted for his lavish productions of Shakespeare (1853-1917),no_example,no_example,proper noun,0
tuna,tuna.n.01,tropical American prickly pear of Jamaica,no_example,no_example,unknown sense,0
wet,besotted.s.01,very drunk,no_example,no_example,unknown sense,0
wolf,wolf.n.02,Austrian composer (1860-1903),no_example,no_example,proper noun,0
wolf,wolf.n.03,German classical scholar who claimed that the Iliad and Odyssey were composed by several authors (1759-1824),no_example,no_example,proper noun,0
