belt_1,belt,the act of hitting vigorously <br /> <i>(Example: He gave the table a belt)</i>,ammunition (usually of small caliber) loaded in flexible linked strips for use in a machine gun <br /> <i>(Example: The belt fed through the machine as shots rung out)</i>,endless loop of flexible material between two rotating shafts or pulleys <br /> <i>(Example: The drive belt broke)</i>,an elongated region where a specific condition or characteristic is found <br /> <i>(Example: A belt of high pressure)</i>,a path or strip (as cut by one course of mowing) <br /> <i>(Example: Push them down the belt)</i>,5
touch_2,touch,"make physical contact with, come in contact with <br /> <i>(Example: She never touched her husband)</i>",color lightly <br /> <i>(Example: The leaves were touched with red in November)</i>,tamper with <br /> <i>(Example: Don't touch my CDs!)</i>,to extend as far as <br /> <i>(Example: The chair must not touch the wall)</i>,be relevant to <br /> <i>(Example: To touch on your previous idea)</i>,5
think_1,think,have or formulate in the mind <br /> <i>(Example: Think good thoughts)</i>,imagine or visualize <br /> <i>(Example: Just think--you could be rich one day!)</i>,"expect, believe, or suppose <br /> <i>(Example: He didn't think to find her in the kitchen)</i>","ponder; reflect on, or reason about <br /> <i>(Example: Think the matter through)</i>",recall knowledge from memory; have a recollection <br /> <i>(Example: I can't think what her last name was)</i>,5
vacuum_1,vacuum,an electrical home appliance that cleans by suction <br /> <i>(Example: Going to have_to go round with the vacuum cleaner I think and pick up all these bits)</i>,an empty area or space <br /> <i>(Example: Without their support he'll be ruling in a vacuum)</i>,the absence of matter <br /> <i>(Example: Black holes are vacuums)</i>,a region that is devoid of matter <br /> <i>(Example: The huge desert vaccum)</i>,,4
better_1,better,(comparative of `good') changed for the better in health or fitness <br /> <i>(Example: I feel better)</i>,more than half <br /> <i>(Example: Argued for the better part of an hour)</i>,(comparative of `good') superior to another (of the same class or set or kind) in excellence or quality or desirability or suitability; more highly skilled than another <br /> <i>(Example: She's better in math than in history)</i>,(comparative and superlative of `well') wiser or more advantageous and hence advisable <br /> <i>(Example: It would be better to speak to him)</i>,,4
long_1,long,of relatively great height <br /> <i>(Example: A race of long gaunt men)</i>,having or being more than normal or necessary: <br /> <i>(Example: Long on brains)</i>,primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified <br /> <i>(Example: A long life)</i>,"(of speech sounds or syllables) of relatively long duration <br /> <i>(Example: The English vowel sounds in `bate', `beat', `bite', `boat', `boot' are long)</i>",planning prudently for the future <br /> <i>(Example: Took a long view of the geopolitical issues)</i>,5
go_5,go,be awarded; be allotted <br /> <i>(Example: The first prize goes to Mary)</i>,to be spent or finished <br /> <i>(Example: The money had gone after a few days)</i>,"pass, fare, or elapse; of a certain state of affairs or action <br /> <i>(Example: How is it going?)</i>",follow a certain course <br /> <i>(Example: How did your interview go?)</i>,go through in search of something; search through someone's belongings in an unauthorized way <br /> <i>(Example: Don't go through my stuff)</i>,5
fast_1,fast,unwavering in devotion to friend or vow or cause <br /> <i>(Example: Fast friends)</i>,(used of timepieces) indicating a time ahead of or later than the correct time <br /> <i>(Example: My watch is fast)</i>,resistant to destruction or fading <br /> <i>(Example: Fast colors)</i>,(of surfaces) conducive to rapid speeds <br /> <i>(Example: A fast road)</i>,unrestrained by convention or morality <br /> <i>(Example: Fast women)</i>,5
big_3,big,exhibiting self-importance <br /> <i>(Example: Big talk)</i>,significant <br /> <i>(Example: Graduation was a big day in his life)</i>,given or giving freely <br /> <i>(Example: Was a big tipper)</i>,,,3
pool_2,pool,a small lake <br /> <i>(Example: The pool was too small for sailing)</i>,something resembling a pool of liquid <br /> <i>(Example: He stood in a pool of light)</i>,an association of companies for some definite purpose <br /> <i>(Example: The pool of companies worked together to finish the product)</i>,the combined stakes of the betters <br /> <i>(Example: I'll put $50 in the pool)</i>,,4
coffee_1,coffee,a medium brown to dark-brown color <br /> <i>(Example: The wall was a dark coffee)</i>,a seed of the coffee tree; ground to make coffee <br /> <i>(Example: A buy my own coffee beans)</i>,any of several small trees and shrubs native to the tropical Old World yielding coffee beans <br /> <i>(Example: There is a field of coffee trees over there)</i>,a beverage consisting of an infusion of ground coffee beans <br /> <i>(Example: He ordered a cup of coffee)</i>,,4
basket_1,basket,horizontal circular metal hoop supporting a net through which players try to throw the basketball <br /> <i>(Example: I have a basket outside)</i>,a container that is usually woven and has handles <br /> <i>(Example: Get a shopping basket)</i>,the quantity contained in a basket <br /> <i>(Example: I have a basket of stawberries)</i>,a score in basketball made by throwing the ball through the hoop <br /> <i>(Example: He made the basket)</i>,,4
noisy_1,noisy,attracting attention by showiness or bright colors <br /> <i>(Example: A noisy sweater)</i>,full of or characterized by loud and nonmusical sounds <br /> <i>(Example: A noisy cafeteria)</i>,,,,2
shake_1,shake,get rid of <br /> <i>(Example: I couldn't shake the car that was following me)</i>,move with or as if with a tremor <br /> <i>(Example: His hands shook)</i>,move or cause to move back and forth <br /> <i>(Example: My hands were shaking)</i>,undermine or cause to waver <br /> <i>(Example: My faith has been shaken)</i>,shake or vibrate rapidly and intensively <br /> <i>(Example: Now shake them up)</i>,5
read_3,read,to hear and understand <br /> <i>(Example: I read you loud and clear!)</i>,,,,,1
bring_2,bring,induce or persuade <br /> <i>(Example: The confession of one of the accused brought the others to admit to the crime as well)</i>,advance or set forth in court <br /> <i>(Example: Bring charges)</i>,attract the attention of <br /> <i>(Example: The noise and the screaming brought the curious)</i>,cause to happen or to occur as a consequence <br /> <i>(Example: Bring comments)</i>,"be sold for a certain price <br /> <i>(Example: The painting brought $10,000)</i>",5
table_2,table,a company of people assembled at a table for a meal or game <br /> <i>(Example: He entertained the whole table with his witty remarks)</i>,,,,,1
finish_1,finish,finally be or do something <br /> <i>(Example: I gotta finish doing this with Violet)</i>,provide with a finish <br /> <i>(Example: The carpenter finished the table beautifully)</i>,come or bring to a finish or an end <br /> <i>(Example: He finished the dishes)</i>,"have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical <br /> <i>(Example: The song finished)</i>",cause to finish a relationship with somebody <br /> <i>(Example: That finished me with Mary)</i>,5
naughty_1,naughty,badly behaved <br /> <i>(Example: A naughty boy)</i>,suggestive of sexual impropriety <br /> <i>(Example: A naughty wink)</i>,,,,2
dark_2,dark,not giving performances; closed <br /> <i>(Example: The theater is dark on Mondays)</i>,devoid of or deficient in light or brightness; shadowed or black <br /> <i>(Example: Sitting in a dark corner)</i>,having skin rich in melanin pigments <br /> <i>(Example: Dark-skinned peoples)</i>,secret <br /> <i>(Example: Keep it dark)</i>,causing dejection <br /> <i>(Example: The dark days of the war)</i>,5
break_11,break,fail to agree with; be in violation of; as of rules or patterns <br /> <i>(Example: Break a law)</i>,be released or become known; of news <br /> <i>(Example: News of her death broke in the morning)</i>,move away or escape suddenly <br /> <i>(Example: Nobody can break out--this prison is high security)</i>,"weaken or destroy in spirit or body <br /> <i>(Example: I refuse to break, even under torture)</i>",scatter or part <br /> <i>(Example: The clouds broke after the heavy downpour)</i>,5
work_1,work,prepare for crops <br /> <i>(Example: Work the soil)</i>,make uniform <br /> <i>(Example: Work the clay until it is soft)</i>,have and exert influence or effect <br /> <i>(Example: The artist's work influenced the young painter)</i>,find the solution to (a problem or question) or understand the meaning of <br /> <i>(Example: This unpleasant situation isn't going to work itself out)</i>,proceed towards a goal or along a path or through an activity <br /> <i>(Example: Work your way through every problem or task)</i>,5
hammer_1,hammer,"a light drumstick with a rounded head that is used to strike such percussion instruments as chimes, kettledrums, marimbas, glockenspiels, etc. <br /> <i>(Example: I bought a new hammer for my drums)</i>",a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking <br /> <i>(Example: There's a hammer and nails and there's lots of wood here)</i>,a striker that is covered in felt and that causes the piano strings to vibrate <br /> <i>(Example: One hammer in the piano broke)</i>,"the ossicle attached to the eardrum <br /> <i>(Example: My hammer is fine, but my eardrum is torn)</i>",a heavy metal sphere attached to a flexible wire; used in the hammer throw <br /> <i>(Example: Someone just beat the record for the hammer throw!)</i>,5
hard_1,hard,(of light) transmitted directly from a pointed light source <br /> <i>(Example: The hard light caused sharp shadows)</i>,dried out <br /> <i>(Example: Hard dry rolls left over from the day before)</i>,given to excessive indulgence of bodily appetites especially for intoxicating liquors <br /> <i>(Example: A hard drinker)</i>,(of speech sounds); produced with the back of the tongue raised toward or touching the velum <br /> <i>(Example: Russian distinguished between hard consonants and palatalized or soft consonants)</i>,unfortunate or hard to bear <br /> <i>(Example: Had hard luck)</i>,5
scissors_1,scissors,a wrestling hold in which you wrap your legs around the opponents body or head and put your feet together and squeeze <br /> <i>(Example: He won the wrestling with the scissor)</i>,a gymnastic exercise performed on the pommel horse when the gymnast moves his legs as the blades of scissors move <br /> <i>(Example: His magnificent scissors earned him the gymnastics title)</i>,an edge tool having two crossed pivoting blades <br /> <i>(Example: I'm going to open it Mommy needs scissors to open it)</i>,,,3
drop_1,drop,lower the pitch of (musical notes) <br /> <i>(Example: Can you drop the pitch for that?)</i>,fall or sink into a state of exhaustion or death <br /> <i>(Example: Shop til you drop)</i>,go down in value <br /> <i>(Example: Stock prices dropped)</i>,stop associating with <br /> <i>(Example: They dropped her after she had a child out of wedlock)</i>,"take (a drug, especially LSD), by mouth <br /> <i>(Example: She dropped acid when she was a teenager)</i>",5
chicken_1,chicken,a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl <br /> <i>(Example: The chicken says bock bock bock)</i>,a foolhardy competition; a dangerous activity that is continued until one competitor becomes afraid and stops <br /> <i>(Example: To play chicken)</i>,the flesh of a chicken used for food <br /> <i>(Example: We're having chicken for dinner)</i>,"a person who lacks confidence, is irresolute and wishy-washy <br /> <i>(Example: You're such a chicken, just do it!)</i>",,4
belt_2,belt,a vigorous blow <br /> <i>(Example: The sudden belt floored him)</i>,a band to tie or buckle around the body (usually at the waist) <br /> <i>(Example: Now he needs some tools on his tool belt doesn't he)</i>,,,,2
help_2,help,"help to some food; help with food or drink <br /> <i>(Example: I served him three times, and after that he helped himself)</i>",improve the condition of <br /> <i>(Example: These pills will help the patient)</i>,take or use <br /> <i>(Example: She helped herself to some of the office supplies)</i>,,,3
bite_1,bite,cause a sharp or stinging pain or discomfort <br /> <i>(Example: The sun bit his face)</i>,deliver a sting to <br /> <i>(Example: A bee bit my arm yesterday)</i>,"penetrate or cut, as with a knife <br /> <i>(Example: The fork bit into the surface)</i>","to grip, cut off, or tear with or as if with the teeth or jaws <br /> <i>(Example: Gunny invariably tried to bite her)</i>",,4
good_3,good,with or in a close or intimate relationship <br /> <i>(Example: A good friend)</i>,financially sound <br /> <i>(Example: A good investment)</i>,having desirable or positive qualities especially those suitable for a thing specified <br /> <i>(Example: Good news from the hospital)</i>,most suitable or right for a particular purpose <br /> <i>(Example: A good time to plant tomatoes)</i>,capable of pleasing <br /> <i>(Example: Good looks)</i>,5
take_7,take,take by force <br /> <i>(Example: The army took the fort on the hill)</i>,"be stricken by an illness, fall victim to an illness <br /> <i>(Example: She took a chill)</i>",be capable of holding or containing <br /> <i>(Example: This box won't take all the items)</i>,"take on a certain form, attribute, or aspect <br /> <i>(Example: The story took a new turn)</i>",be designed to hold or take <br /> <i>(Example: This surface will not take the dye)</i>,5
chips_2,chips,a piece of dried bovine dung <br /> <i>(Example: These chips are used in throwing contests)</i>,a thin crisp slice of potato fried in deep fat <br /> <i>(Example: Potato chip)</i>,a triangular wooden float attached to the end of a log line <br /> <i>(Example: The chip log is used to measure the speed of a ship through water)</i>,the act of chipping something <br /> <i>(Example: He made a chip on the bark of the tree)</i>,a mark left after a small piece has been chopped or broken off of something <br /> <i>(Example: There's a chip in this mug)</i>,5
duck_1,duck,flesh of a duck (domestic or wild) <br /> <i>(Example: Duck soup will do)</i>,(cricket) a score of nothing by a batsman <br /> <i>(Example: And he ends his round with a duck)</i>,a heavy cotton fabric of plain weave; used for clothing and tents <br /> <i>(Example: There was a hole in my duck cloth so I got rained on)</i>,small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs <br /> <i>(Example: Can you see the yellow duck?)</i>,,4
deer_1,deer,distinguished from Bovidae by the male's having solid deciduous antlers <br /> <i>(Example: That deer has huge antlers)</i>,,,,,1
raisin_1,raisin,dried grape <br /> <i>(Example: Two of your favorite things: raisins and butter)</i>,,,,,1
stuck_1,stuck,caught or fixed <br /> <i>(Example: Stuck in the mud)</i>,baffled <br /> <i>(Example: This problem has me completely stuck)</i>,,,,2
cover_3,cover,maintain a check on; especially by patrolling <br /> <i>(Example: The second officer covered the top floor)</i>,"be responsible for reporting the details of, as in journalism <br /> <i>(Example: The cub reporter covered New York City)</i>",make up for shortcomings or a feeling of inferiority by exaggerating good qualities <br /> <i>(Example: He is covering for being a bad father)</i>,include in scope; include as part of something broader; have as one's sphere or territory <br /> <i>(Example: This should cover everyone in the group)</i>,form a cover over <br /> <i>(Example: The grass covered the grave)</i>,5
break_5,break,break a piece from a whole <br /> <i>(Example: Break a branch from a tree)</i>,assign to a lower position; reduce in rank <br /> <i>(Example: He was broken down to Sergeant)</i>,exchange for smaller units of money <br /> <i>(Example: I had to break a $100 bill just to buy the candy)</i>,vary or interrupt a uniformity or continuity <br /> <i>(Example: The flat plain was broken by tall mesas)</i>,ruin completely <br /> <i>(Example: He broke my radio!)</i>,5
stroller_1,stroller,a small vehicle with four wheels in which a baby or child is pushed around <br /> <i>(Example: You walked around a little with the kids in the strollers)</i>,"someone who walks at a leisurely pace <br /> <i>(Example: You're such a stroller, you're way too slow)</i>",,,,2
story_1,story,a structure consisting of a room or set of rooms at a single position along a vertical scale <br /> <i>(Example: What story is the office on?)</i>,a record or narrative description of past events <br /> <i>(Example: A history of France)</i>,a trivial lie <br /> <i>(Example: How can I stop my child from telling stories?)</i>,"a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program <br /> <i>(Example: It's a story book, what's the story about)</i>",a short account of the news <br /> <i>(Example: The story was on the 11 o'clock news)</i>,5
light_1,light,having abundant light or illumination <br /> <i>(Example: They played as long as it was light)</i>,merriment expressed by a brightness or gleam or animation of countenance <br /> <i>(Example: He had light in his eyes)</i>,a divine presence believed by Quakers to enlighten and guide the soul <br /> <i>(Example: The Inner Light is never separated from God nor Christ)</i>,a condition of spiritual awareness; divine illumination <br /> <i>(Example: Follow God's light)</i>,a device for lighting or igniting fuel or charges or fires <br /> <i>(Example: Do you have a light?)</i>,5
cover_2,cover,be responsible for guarding an opponent in a game <br /> <i>(Example: He covered left field)</i>,hold within range of an aimed firearm <br /> <i>(Example: Give me cover!)</i>,to take an action to protect against future problems <br /> <i>(Example: Count the cash in the drawer twice just to cover yourself)</i>,"clothe, as if for protection from the elements <br /> <i>(Example: Cover your head!)</i>","be sufficient to meet, defray, or offset the charge or cost of <br /> <i>(Example: Is this enough to cover the check?)</i>",5
high_2,high,happy and excited and energetic <br /> <i>(Example: Playing at the park gave him a high spirit)</i>,slightly and pleasantly intoxicated from alcohol or a drug (especially marijuana) <br /> <i>(Example: He got very high last week)</i>,,,,2
thirsty_1,thirsty,(usually followed by `for') extremely desirous <br /> <i>(Example: Thirsty for informaton)</i>,able to take in large quantities of moisture <br /> <i>(Example: Thirsty towels)</i>,feeling a need or desire to drink <br /> <i>(Example: After playing hard the children were thirsty)</i>,needing moisture <br /> <i>(Example: Thirsty fields under a rainless sky)</i>,,4
quiet_1,quiet,in a softened tone <br /> <i>(Example: A quiet reprimand)</i>,of the sun characterized by a low level of surface phenomena like sunspots e.g. <br /> <i>(Example: The Sun is currently quiet because of its minimum solar activity)</i>,free of noise or uproar; or making little if any sound <br /> <i>(Example: A quiet audience at the concert)</i>,characterized by an absence or near absence of agitation or activity <br /> <i>(Example: A quiet life)</i>,(of a body of water) free from disturbance by heavy waves <br /> <i>(Example: The quiet waters of a lagoon)</i>,5
run_1,run,"stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point <br /> <i>(Example: Service runs all the way to Cranbury)</i>",cover by running; run a certain distance <br /> <i>(Example: I'm not gonna run all the way down the street)</i>,continue to exist <br /> <i>(Example: The legend of Elvis runs)</i>,travel a route regularly <br /> <i>(Example: Ships run the waters near the coast)</i>,include as the content; broadcast or publicize <br /> <i>(Example: We ran the ad three times)</i>,5
finger_1,finger,one of the parts of a glove that provides covering for a finger or thumb <br /> <i>(Example: Do you prefer fingerless gloves or gloves with fingers?)</i>,any of the terminal members of the hand (sometimes excepting the thumb) <br /> <i>(Example: Her fingers were long and thin)</i>,the length of breadth of a finger used as a linear measure <br /> <i>(Example: Da Vinci used a finger measurement for his work)</i>,,,3
catch_1,catch,start burning <br /> <i>(Example: The fire caught)</i>,"cause to become accidentally or suddenly caught, ensnared, or entangled <br /> <i>(Example: I caught the hem of my dress in the brambles)</i>",perceive by hearing <br /> <i>(Example: I didn't catch your name)</i>,be the catcher <br /> <i>(Example: Who is catching?)</i>,"perceive with the senses quickly, suddenly, or momentarily <br /> <i>(Example: Ears open to catch every sound)</i>",5
put_1,put,adapt <br /> <i>(Example: Put these words to music)</i>,cause to be in a certain state; cause to be in a certain relation <br /> <i>(Example: That song put me in awful good humor)</i>,make an investment <br /> <i>(Example: I wish I had put money in Apple)</i>,"arrange thoughts, ideas, temporal events <br /> <i>(Example: I put these memories with those of bygone times)</i>",cause (someone) to undergo something <br /> <i>(Example: He put her to the torture)</i>,5
play_1,play,perform on a certain location <br /> <i>(Example: The prodigy played Carnegie Hall at the age of 16)</i>,behave in a certain way <br /> <i>(Example: Play safe)</i>,pretend to be somebody in the framework of a game or playful activity <br /> <i>(Example: Let's play like I am mommy)</i>,be received or accepted or interpreted in a specific way <br /> <i>(Example: This speech didn't play well with the American public)</i>,exhaust by allowing to pull on the line <br /> <i>(Example: Play a hooked fish)</i>,5
smile_1,smile,"change one's facial expression by spreading the lips, often to signal pleasure <br /> <i>(Example: Can you smile for me?)</i>",express with a smile <br /> <i>(Example: She smiled her thanks)</i>,,,,2
monkey_1,monkey,any of various long-tailed primates (excluding the prosimians) <br /> <i>(Example: Is that monkey eating a banana?)</i>,one who is playfully mischievous <br /> <i>(Example: You silly monkey)</i>,,,,2
stick_1,stick,a small thin branch of a tree <br /> <i>(Example: Seven little ladybugs resting on sticks)</i>,an implement consisting of a length of wood <br /> <i>(Example: He collected dry sticks for a campfire)</i>,a long thin implement resembling a length of wood <br /> <i>(Example: Cinnamon sticks)</i>,threat of a penalty <br /> <i>(Example: The policy so far is all stick and no carrot)</i>,a rectangular quarter pound block of butter or margarine <br /> <i>(Example: A stick of butter)</i>,5
face_2,face,the part of an animal corresponding to the human face <br /> <i>(Example: Look at the face on that little duckie)</i>,the front of the human head from the forehead to the chin and ear to ear <br /> <i>(Example: He washed his face)</i>,the side upon which the use of a thing depends (usually the most prominent surface of an object) <br /> <i>(Example: He dealt the cards face down)</i>,the general outward appearance of something <br /> <i>(Example: The face of the city is changing)</i>,a surface forming part of the outside of an object <br /> <i>(Example: Dew dripped from the face of the leaf)</i>,5
blow_2,blow,"be blowing or storming <br /> <i>(Example: When the wind blows, the cradle will rock)</i>","melt, break, or become otherwise unusable <br /> <i>(Example: The lightbulds blew out)</i>",sound by having air expelled through a tube <br /> <i>(Example: The trumpets blew)</i>,spend lavishly or wastefully on <br /> <i>(Example: You're going to blow all your savings if you keep this up)</i>,spend thoughtlessly; throw away <br /> <i>(Example: He blew his inheritance on his insincere friends)</i>,5
run_6,run,become undone <br /> <i>(Example: The sweater began to run)</i>,"move about freely and without restraint, or act as if running around in an uncontrolled way <br /> <i>(Example: Who are these people running around in the building?)</i>",cause to perform <br /> <i>(Example: Run a subject)</i>,keep company <br /> <i>(Example: The heifers run with the bulls to produce offspring)</i>,carry out <br /> <i>(Example: Run an errand)</i>,5
hot_2,hot,having or showing great eagerness or enthusiasm <br /> <i>(Example: Hot for travel)</i>,producing a burning sensation on the taste nerves <br /> <i>(Example: Hot salsa)</i>,very popular or successful <br /> <i>(Example: One of the hot young talents)</i>,very unpleasant or even dangerous <br /> <i>(Example: Make it hot for him)</i>,used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning <br /> <i>(Example: Hot stove)</i>,5
quiet_2,quiet,not showy or obtrusive <br /> <i>(Example: Clothes in quiet good taste)</i>,,,,,1
box_1,box,the driver's seat on a coach <br /> <i>(Example: An armed guard sat in the box with the driver)</i>,private area in a theater or grandstand where a small group can watch the performance <br /> <i>(Example: The royal box was empty)</i>,a predicament from which a skillful or graceful escape is impossible <br /> <i>(Example: His lying got him into a tight box)</i>,separate partitioned area in a public place for a few people <br /> <i>(Example: The sentry stayed in his box to avoid the cold)</i>,evergreen shrubs or small trees <br /> <i>(Example: The garden was full of boxes)</i>,5
cut_5,cut,refuse to acknowledge <br /> <i>(Example: She cut him dead at the meeting)</i>,shorten as if by severing the edges or ends of <br /> <i>(Example: Cut my hair)</i>,have a reducing effect <br /> <i>(Example: This cuts into my earnings)</i>,make out and issue <br /> <i>(Example: Cut a ticket)</i>,cut down on; make a reduction in <br /> <i>(Example: The employer wants to cut back health benefits)</i>,5
